100
1 2
3 4
5 6
7 8
9 10
11 12
13 14
15 16
17 18
19 20
21 22
23 24
25 26
27 28
29 30
31 32
33 34
35 36
37 38
39 40
41 42
43 44
45 46
47 48
49 50
51 52
53 54
55 56
57 58
59 60
61 62
63 64
65 66
67 68
69 70
71 72
73 74
75 76
77 78
79 80
81 82
83 84
85 86
87 88
89 90
91 92
93 94
95 96
97 98
99 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-13 49 97 67 -14 -68 -92 46 -94 -21 61 96 78 81 2 10 19 -80 24 -76 20 93 -91 -56 65 -77 56 85 -18 -36 65 -15 -72 -77 59 8 -32 -60 62 37 95 24 -70 49 -12 48 -90 -71 47 -21 -82 59 23 -74 -3 81 -34 -21 -100 41 4 -39 -15 -52 -89 -28 19 -70 -30 -11 -26 18 72 -27 -92 -86 74 93 -37 -4 -8 9 -42 -99 -81 -33 -90 -26 -22 -57 40 61 -12 76 61 -34 -29 -83 36 -77
